paper_key,file,page,value,unit,topic,gravity_context,snippet
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,42,70,%,alloy composition,microgravity/space,"sion can make sure the reuse product meet the reuse requirements. SJ-10 satellite is the ﬁrst spacecraft of China which makes great scale use of recovery aerospace product on platform. Reuse rate of information system is 70% which save cost as high as 7.6%. Through this practice, we get a new method and technical norms of reusing the recovery products, and make a beneﬁt attempt for the future reusable spacecraft. 4.13 Low Cost Design On the"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,53,100,%,alloy composition,microgravity/space,"System Design and Flight Results of China … 45 experiment time is 740 h. The success rate of the experiments is 98.2%, the success rate of the experiment station is 100%, and the success rate of the samples is 77%. • Space life experiment: Among 28 samples and 90 culture mediums, the cumulative test is 3064 h for all the 11 experiments. The process and recovery success rate of the sampl"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,53,77,%,alloy composition,microgravity/space,"System Design and Flight Results of China … 45 experiment time is 740 h. The success rate of the experiments is 98.2%, the success rate of the experiment station is 100%, and the success rate of the samples is 77%. • Space life experiment: Among 28 samples and 90 culture mediums, the cumulative test is 3064 h for all the 11 experiments. The process and recovery success rate of the samples is 100%. The payloads successfully implem"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,53,98.2,%,alloy composition,microgravity/space,"System Design and Flight Results of China … 45 experiment time is 740 h. The success rate of the experiments is 98.2%, the success rate of the experiment station is 100%, and the success rate of the samples is 77%. • Space life experiment: Among 28 samples and 90 culture mediums, the cumulative test is 3064 h for all the 11 experiments"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,158,1.2,vol%,alloy composition,microgravity/space,". Reprinted with permission from (Langmuir 2000, 16, (12), 5295–5303). Copyright (2000) American Chemical Society be observed in the system. The primary phase transition can be explained by Onsager model; when F comes to 1.2 vol%, the sol–gel transition is observed in the system; with higher concentration ( F = 5.0 vol%), the system turns from uniaxial nematic (Nu) to biaxial nematic (Nb). The thermo-dynamic and ﬂuid-dynamic properties can be ex"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,158,2,vol%,alloy composition,microgravity/space,"Inﬂuence of Gravity on Inorganic Liquid Crystal 153 Fig. 1 a Structure of crystalline V2O5. b SEM micrograph of V2O5. c and d 2-D scattering patterns obtained at the 2 vol% sample, can be regarded as Nu; e and f at the 5 vol% sample, can be regarded as Nb. Reprinted with permission from (Langmuir 2000, 16, (12), 5295–5303). Copyright (2000) American Chemical Society be observed in the syst"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,158,5,vol%,alloy composition,microgravity/space,"Inﬂuence of Gravity on Inorganic Liquid Crystal 153 Fig. 1 a Structure of crystalline V2O5. b SEM micrograph of V2O5. c and d 2-D scattering patterns obtained at the 2 vol% sample, can be regarded as Nu; e and f at the 5 vol% sample, can be regarded as Nb. Reprinted with permission from (Langmuir 2000, 16, (12), 5295–5303). Copyright (2000) American Chemical Society be observed in the system. The primary phase transition can be explained by"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,163,16,%,alloy composition,microgravity/space,"the particles can be seen. c 18% (w/w) dispersion. d Samples observed after 7 days and e 17 days. f Schlieren texture with a point defect surrounded by four dark brushes of 22% (w/w) dispersion. g Isotropic phase of the 16% (w/w) dispersion. h Birefringent nematic phase of the 27% (w/w) dispersion. i Isotropic-nematic phase separation of the 27% (w/w) dispersion, as observed 7 days after dilution. Reprinted with permission from (Chemistry"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,163,27,%,alloy composition,microgravity/space,"les observed after 7 days and e 17 days. f Schlieren texture with a point defect surrounded by four dark brushes of 22% (w/w) dispersion. g Isotropic phase of the 16% (w/w) dispersion. h Birefringent nematic phase of the 27% (w/w) dispersion. i Isotropic-nematic phase separation of the 27% (w/w) dispersion, as observed 7 days after dilution. Reprinted with permission from (Chemistry of materials 2003, 15, (17), 3240–3241). Copyright (2003)"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,164,0.3,wt%,alloy composition,microgravity/space,"(0.05, 0.2, 0.5 wt%) located between crossed polarizers; coagulated 0.01 wt% dispersion upon adding 50 mM NaCl.c Nematic phase volume fraction versus graphene oxide concentration. d Typical nematic schlieren texture of a 0.3 wt% dispersion with ±1/2 disclinations and +1 disclination. e SEM image of GO liquid crystal in freeze-dried sample (0.5 wt%). Blue and red symbols indicate+1/2 and − 1/2 disclinations, respectively. Reprinted with permissi"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,164,0.5,wt%,alloy composition,microgravity/space,"hase volume fraction versus graphene oxide concentration. d Typical nematic schlieren texture of a 0.3 wt% dispersion with ±1/2 disclinations and +1 disclination. e SEM image of GO liquid crystal in freeze-dried sample (0.5 wt%). Blue and red symbols indicate+1/2 and − 1/2 disclinations, respectively. Reprinted with permission from (Angewandte Chemie International Edition2011, 50, (13), 3043–3047). Copyright (2011) John Wiley and Sons 1.3 Pros"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,23–30,wt%,alloy composition,earth/1g,"he liquid crystal phase transition in polydisperse Mg 2Al LDHs under normal gravity. The dispersions are isotropic under the polarizer observation at low concentration (<23 wt%) (Fig. 7c). With increasing concentration (23–30 wt%) of Mg 2Al LDHs, the dispersions show a shear-induced birefringence, indicating a highly-ordered directional alignment of particles. Coexistence of four phases, including an opaque isotropic top phase, a birefringent mi"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,25,wt%,alloy composition,earth-vs-microgravity comparison,"The liquid crystal phase transition of Mg 2Al LDHs under microgravity is observed and indicates that the Onsager’s theory remained valid under microgravity (Fig. 7f, g). The phase transition concentration increased from 25 wt% under normal gravity to 27 wt% under microgravity, which proves the gravity-brought fractionation facilitate the liquid crystal transition. In addition, relax time of shear-induced birefringence is signiﬁcantly increase"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,27,wt%,alloy composition,earth-vs-microgravity comparison,"ition of Mg 2Al LDHs under microgravity is observed and indicates that the Onsager’s theory remained valid under microgravity (Fig. 7f, g). The phase transition concentration increased from 25 wt% under normal gravity to 27 wt% under microgravity, which proves the gravity-brought fractionation facilitate the liquid crystal transition. In addition, relax time of shear-induced birefringence is signiﬁcantly increased under microgravity, which can"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,30,wt%,alloy composition,microgravity/space,"platelets, are observed after standing for 5 days (Fig. 7d). When concentration increased up to 32 wt%, three phases coexistence (I/N/S) are observed (Fig. 7e). The authors chose ﬁve samples with concentration from 22 to 30 wt% to perform microgravity experiments. The liquid crystal phase transition of Mg 2Al LDHs under microgravity is observed and indicates that the Onsager’s theory remained valid under microgravity (Fig. 7f, g). The phase tr"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,32,wt%,alloy composition,microgravity/space,"g an opaque isotropic top phase, a birefringent middle phase, a faint birefringence new phase and a sediment layer of larger platelets, are observed after standing for 5 days (Fig. 7d). When concentration increased up to 32 wt%, three phases coexistence (I/N/S) are observed (Fig. 7e). The authors chose ﬁve samples with concentration from 22 to 30 wt% to perform microgravity experiments. The liquid crystal phase transition of Mg 2Al LDHs under"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,169,<23,wt%,alloy composition,earth/1g,"a). The authors ﬁrstly performed a pilot study of the liquid crystal phase transition in polydisperse Mg 2Al LDHs under normal gravity. The dispersions are isotropic under the polarizer observation at low concentration (<23 wt%) (Fig. 7c). With increasing concentration (23–30 wt%) of Mg 2Al LDHs, the dispersions show a shear-induced birefringence, indicating a highly-ordered directional alignment of particles. Coexistence of four phases, inclu"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,170,16,wt%,alloy composition,microgravity/space,"tal principle diagram of the colloidal material box. Reprinted ﬁgure with permission from [Microgravity Science and Technology2016, 28, (2), 179–188]. Copyright (2016) by the Springer.c Polarized light photographs of the 16 wt% Mg 2Al LDHs suspension: (1) just prepared, (2) 5 days, (3) 15 days. d Polarized light photographs of the 28 wt% Mg 2Al LDHs suspension: (1) just prepared, (2) 5 days, (3) 12 days, (4) 15 days. Reprinted ﬁgure with permi"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,170,28,wt%,alloy composition,microgravity/space,"and Technology2016, 28, (2), 179–188]. Copyright (2016) by the Springer.c Polarized light photographs of the 16 wt% Mg 2Al LDHs suspension: (1) just prepared, (2) 5 days, (3) 15 days. d Polarized light photographs of the 28 wt% Mg 2Al LDHs suspension: (1) just prepared, (2) 5 days, (3) 12 days, (4) 15 days. Reprinted ﬁgure with permission from [Microgravity Science and Technology 2016, 28, (2), 95–100]. Copyright (2016) by the Springer.e Polar"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,170,32,wt%,alloy composition,microgravity/space,"just prepared, (2) 5 days, (3) 12 days, (4) 15 days. Reprinted ﬁgure with permission from [Microgravity Science and Technology 2016, 28, (2), 95–100]. Copyright (2016) by the Springer.e Polarized light photographs of the 32 wt% Mg2Al LDHs suspension: (1) just prepared, (2) 12 days, (3) 15 days. f and g Polarized optical micrographs of the phase behavior of different concentration samples under microgravity at different time. “0 d” represents “"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,188,2,%,alloy composition,earth/1g,average between two different GC injections for each compartment. The associated error bars correspond to half the difference between the results of the two injections. The composition results were reproducible to within 2% of mole fraction of a given compound. It should be pointed out that the GC protocol has been tested on a HP cell that stayed on earth and was containing the same quaternary mixture as HP cells E and F.
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,196,10,%,alloy composition,microgravity/space,"requently as shown in Table 1 [1]. At least ﬁve ﬁre-threatening incidents (STS-6, STS-28, STS-35, STS-40, STS-50) have been reported in the ﬁrst 50 missions of the US Space Shuttle since 1981. The ﬁre-risk probability is 10%. Table 1 Shuttle ﬁre-risk experience Mission Date Incident Result Response STS-6 April 1983 Wires fused near material processing unit; crew detected an odor No atmospheric contamination measured No alarm STS-28 August 1"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,201,3.16× 10− 3,,alloy composition,microgravity/space,"Ignition and Combustion Characteristics of Overloaded Wire … 197 If the pressure ( psimu = √ 10− 5 p = 3.16× 10− 3 p = 320.34 Pa) in the functional simulation experiment is achieved, it is easily to get Gr simu = Grμg . Thus the FS condition is that the pressure in the simulated environment should be set at 320 Pa. This dimensionles"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,219,1.5,%,alloy composition,microgravity/space,"rloaded Wire … 215 The infrared lens is a germanium crystal. It can detect the low-temperature radiation energy. The radiometer is specially designed for the experiments. The temperature range is from − 10 to 500 °C with 1.5% accuracy. It constructed to withstand vibra- tions and satisﬁed other stringent requirements for space experiments. Due to the radiation energy being not intuitive, the output of the radiometer was transferred to the te"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,21,%,alloy composition,microgravity/space,"gen concentrations. The velocity of opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,25,%,alloy composition,microgravity/space,"centrations. The velocity of opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,27.3,%,alloy composition,microgravity/space,"urrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,30,%,alloy composition,microgravity/space,"ions. The velocity of opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,35,%,alloy composition,microgravity/space,"he velocity of opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,36.9,%,alloy composition,microgravity/space,"w as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,40,%,alloy composition,microgravity/space,"city of opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,46.7,%,alloy composition,microgravity/space,"tive. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,50,%,alloy composition,microgravity/space,"arger than that in concurrent spread. Also plotted in Fig. 6 are the microgravity data on opposing ﬂame spread rate over PMMA plates 20 mm thick, which were measured in sounding rocket experiments by Olson et al. [28] at 50% O2 and U = 1, 5, and 10 cm/s. They are substantially below the NCA results for the same oxygen level, while a similar trend is exhibited as the ﬂow velocity increases. This discordance may be contributed to the fuel sam"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,251,50,%,alloy composition,microgravity/space,"f opposed ﬂow is deﬁned as positive, and concurrent ﬂow as negative. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) -15 -10 -5 0 5 10 15 0.01 0.1 1 21%O2 25%O2 30%O2 35%O2 40%O2 50%O2 50%O2(Olson et al. 2004) 21%O2 25%O2 27.3%O2 36.9%O2 46.7%O2 Vf (mm/s) U (cm/s) Concurrent Opposed"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,100,%,alloy composition,microgravity/space,"016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,19,%,alloy composition,microgravity/space,"read rate, V f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,21,%,alloy composition,microgravity/space,"ate, V f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,22,%,alloy composition,microgravity/space,"f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,25,%,alloy composition,microgravity/space,"imensional ﬂame spread rate, V f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,30,%,alloy composition,microgravity/space,"onal ﬂame spread rate, V f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,35,%,alloy composition,microgravity/space,"öhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,40,%,alloy composition,microgravity/space,"ame spread rate, V f /V f, EST , with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,50,%,alloy composition,microgravity/space,", with Damköhler number, DaEST , for opposed ﬂame spread. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,252,70,%,alloy composition,microgravity/space,"ight 2016, with permission from Springer Nature) 10 4 10 5 10 6 10 7 0.01 0.1 1 10 25%O2 30%O2 40%O2 19%O2 21%O2 22%O2 40%O2 50%O2 30%O2 35%O2 19%O2 21%O2 25%O2 Vf / Vf,EST DaEST Present Fernandez-Pello et al. 1981 50%O2 70%O2 100%O2"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,253,21,%,alloy composition,microgravity/space,". Zhu Fig. 8 Experimental spread rate for concurrent spreading ﬂame in a comparison with theoretical prediction. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 1 10 100 0.1 1 10 100 21%O2 27.3%O2 36.9%O2 46.7%O2 Linear fitting Vf λs ρscs(Tv-Ti ) 2 /[λg ρgcg(Tf-Tv ) 2 ] (cm/s) U (cm/s) Loh et al. 1984 Present 21%O2 27.3%O2 36.9%O2 46.7%O2 For concurrent ﬂame, the theoretical models [ 1, 34, 35] predicte"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,253,27.3,%,alloy composition,microgravity/space,"Fig. 8 Experimental spread rate for concurrent spreading ﬂame in a comparison with theoretical prediction. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 1 10 100 0.1 1 10 100 21%O2 27.3%O2 36.9%O2 46.7%O2 Linear fitting Vf λs ρscs(Tv-Ti ) 2 /[λg ρgcg(Tf-Tv ) 2 ] (cm/s) U (cm/s) Loh et al. 1984 Present 21%O2 27.3%O2 36.9%O2 46.7%O2 For concurrent ﬂame, the theoretical models [ 1, 34, 35] predicted that t"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,253,36.9,%,alloy composition,microgravity/space,"xperimental spread rate for concurrent spreading ﬂame in a comparison with theoretical prediction. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 1 10 100 0.1 1 10 100 21%O2 27.3%O2 36.9%O2 46.7%O2 Linear fitting Vf λs ρscs(Tv-Ti ) 2 /[λg ρgcg(Tf-Tv ) 2 ] (cm/s) U (cm/s) Loh et al. 1984 Present 21%O2 27.3%O2 36.9%O2 46.7%O2 For concurrent ﬂame, the theoretical models [ 1, 34, 35] predicted that the sprea"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,253,46.7,%,alloy composition,microgravity/space,"tal spread rate for concurrent spreading ﬂame in a comparison with theoretical prediction. (reprinted from reference [27]. Copyright 2016, with permission from Springer Nature) 1 10 100 0.1 1 10 100 21%O2 27.3%O2 36.9%O2 46.7%O2 Linear fitting Vf λs ρscs(Tv-Ti ) 2 /[λg ρgcg(Tf-Tv ) 2 ] (cm/s) U (cm/s) Loh et al. 1984 Present 21%O2 27.3%O2 36.9%O2 46.7%O2 For concurrent ﬂame, the theoretical models [ 1, 34, 35] predicted that the spread rate i"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,255,50,%,alloy composition,microgravity/space,"In order to establish the speciﬁed oxidizer atmosphere in the combustion chamber, a gas control system is integrated with the payload. The gases are ﬁlled into the chamber from two bottles, which are charged with 21 and 50% O 2–N2 mixtures, respectively. At the beginning of each test, residual gas in the chamber is vented to the vacuum of outer space, and then gases from the bottles are charged into the chamber one after the other accordin"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,256,25,%,alloy composition,microgravity/space,"ved in the chamber. The chamber pressure is monitored by a pressure transducer. The oxygen concentration is measured by an oxygen transducer in real time. Oxygen concentrations speciﬁed for the four ﬂame spread tests are 25%, 30%, 35%, and 40%, respectively, whereas the pressure is at 101 kPa. The microgravity experiments are performed one by one during the orbital ﬂight mission. The experimental procedure is automatically controlled. First"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,256,30,%,alloy composition,microgravity/space,"n the chamber. The chamber pressure is monitored by a pressure transducer. The oxygen concentration is measured by an oxygen transducer in real time. Oxygen concentrations speciﬁed for the four ﬂame spread tests are 25%, 30%, 35%, and 40%, respectively, whereas the pressure is at 101 kPa. The microgravity experiments are performed one by one during the orbital ﬂight mission. The experimental procedure is automatically controlled. Firstly, a"
Melt Growth of Semiconductor Crystals Under Microgravity,ReferencePapers/Melt Growth of Semiconductor Crystals Under Microgravity.pdf,256,35,%,alloy composition,microgravity/space,"chamber. The chamber pressure is monitored by a pressure transducer. The oxygen concentration is measured by an oxygen transducer in real time. Oxygen concentrations speciﬁed for the four ﬂame spread tests are 25%, 30%, 35%, and 40%, respectively, whereas the pressure is at 101 kPa. The microgravity experiments are performed one by one during the orbital ﬂight mission. The experimental procedure is automatically controlled. Firstly, an ini"
